rank,team,elo
1,España,2165
2,Argentina 23 | 5,1987
4,Ingatema,2020
5,Brasil,1988
6,Portugal,1984
7,Colombia,1977
8,PalsesBaos,1961
9,Ecuador,1835
10,Hemaria,1925
11,Noruega,1917
12,Croada,1908
13,Japón,1906
15,Suiza,1894
16,Uruguay,1892
17,Bélgica,1888
18,— Dinamarca,1870
19,Senegal,1867
2,lala,1856
22,Paraguay,1832
24,Marruecos,1824
28,Escocia ATTO | 181879 | 6,228
29,Nigeria,1768
30,Rusia,1766
35,Seria,1782
36,Chequia,1733
36,Paraná,1733
39,Venezuela,1727
40,Viven,1718
41,Sueda ama | ar,1785
41,Koso,174
48,Polonia am | 30,1712
45,Fungía,1703
46,Egpto,1699
47,Perú,1695
48,Eslowenia,1694
48,Hianda,1694
50,Gales,1691
51,Jordán,1685
52,Cosade Mari,1676
53,Esoaquia,1674
54,República Democrática delCongo —,1655
55,Georgia,1650
56,Albania,1646
57,Bola,1665
60,Rumania,1630
61,Camerdn,1613
64,HandadelNore,1601
66,BomiayHerzegorina,1591
67,MacecoriadelNorte,1589
68,Nueia Zelanda.,1885
69,CaboVerde,1576
71,sandia,1869
72,Hasan,1866
7,Angola,1863
74,Finlandia,1540
74,EmiratosÁrabes Unidos,1840
76,Hai,1832
71,Burra aso,1830
78,Jamaica,1827
79,Sudáfrica as,132
80,Guatemala asta | 68,1486
81,Bielorusia asta | 80,1505
82,Ghana,4510
8,Sia,1681
84,Omán,1690
87,Bulgaria,1061
89,Montenegro,1053
90,Luxemburgo,1436
91,Curazao,1433
92,Suinam sas | 86,1404
93,Kazajstán,1430
94,Benin,1029
95,Kurdistán,185
9,Porcelana,1023
96,Caar,1023
98,Libia,1020
99,Gambia,1419
101,Gabón,1001
102,Uganda,1308
106,IsasFeros,1381
107,Madagascar,1380
111,Zmbabue,4372
11,Mozambique,1372
113,Zamba dam [60,1551
116,Kenia,1356
117,Venam,4351
118,Sucán,1350
119,Semaleona,1248
160,Tan TITS |,105
162,Yemen TIT |,198
163,Esuatini,119
168,nda,1128
170,¡sas Bermudas,1119
171,Vanuatu ma |,156
172,Sudán delSar,1109
174,Granada,1098
175,Andorra,1076
176,Belice,1073
179,¡slasSalomón,1054
185,Santalucia,1003
188,— Myanmar,982
189,Aruba,979
199,Barbados,898
201,Nepal,893
203,Camboya 84% | IST,1058
204,San Marino,836
204,Bonaire,836
208,Tainán B2I |,164
209,Pakistán BIZ |,154
224,Bahamas,685
226,Islas Turcas y Caicos EST,2766
227,Fngula,646
29,Toe,629
233,Meco 588175,985
24,sladeNavidad,578
28,Kiba sm sea 0 mo o. 2.9. 00.0,10
212,Tuvalu,756
230,IslasVigenesdelosEstados Unidos,628
242,slasCocos,422
244,Samoa Oriental,369
